curr,Cafe,Chef's Kitchen,Devil's Krafthouse,Farmstead or Sprout,Ginger and Soy,Gothic Grill,Il Forno,JB's,Marketplace,McDonald's,Nasher Cafe,Other,Panera,Pitchforks,Red Mango,Sazon,Skillet,Tandoor,Thyme,Twinnie's,Zweli's
Cafe,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739477,0.20673671622908102,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174364,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
Chef's Kitchen,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739479,0.20673671622908102,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174364,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.0836816510235913,0.02552602346057913,0.0836816510235913,0.0012411365798509196
Devil's Krafthouse,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739477,0.20673671622908096,0.057686758592798204,0.03523054211097286,0.03512968084201615,0.03682905811174363,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
Farmstead or Sprout,0.0091185152846181,0.05634406319277583,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.05768675859279824,0.03523054211097286,0.03512968084201616,0.03682905811174364,0.04783808890416695,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
Ginger and Soy,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739479,0.206736716229081,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174363,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.02552602346057913,0.0836816510235913,0.0012411365798509196
Gothic Grill,0.0091185152846181,0.05634406319277584,0.03688583830332095,0.0911154096573948,0.2067367162290811,0.057686758592798246,0.03523054211097286,0.03512968084201616,0.03682905811174365,0.04783808890416696,0.0,0.054711091707708576,0.022406703982939154,0.0,0.056262515159995204,0.0476596446662753,0.011914911166568825,0.0836816510235913,0.02552602346057914,0.0836816510235913,0.0012411365798509198
Il Forno,0.009118515284618099,0.05634406319277583,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.05768675859279824,0.03523054211097286,0.03512968084201616,0.03682905811174364,0.04783808890416695,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
JB's,0.009118515284618099,0.05634406319277582,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.057686758592798225,0.03523054211097286,0.035129680842016155,0.03682905811174364,0.04783808890416695,0.0,0.054711091707708555,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
Marketplace,0.009118515284618097,0.056344063192775816,0.036885838303320935,0.09111540965739476,0.20673671622908096,0.057686758592798204,0.03523054211097285,0.03512968084201614,0.036829058111743626,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.05626251515999517,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
McDonald's,0.0091185152846181,0.05634406319277584,0.03688583830332095,0.0911154096573948,0.20673671622908107,0.057686758592798246,0.03523054211097286,0.03512968084201616,0.03682905811174365,0.04783808890416696,0.0,0.05471109170770856,0.02240670398293915,0.0,0.05626251515999519,0.0476596446662753,0.011914911166568825,0.0836816510235913,0.02552602346057914,0.08368165102359132,0.0012411365798509198
Other,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739479,0.20673671622908102,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174364,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.02552602346057913,0.0836816510235913,0.0012411365798509196
Panera,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739477,0.20673671622908094,0.057686758592798204,0.03523054211097286,0.03512968084201615,0.03682905811174363,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
Pitchforks,0.009118515284618099,0.05634406319277582,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.057686758592798225,0.03523054211097286,0.035129680842016155,0.03682905811174364,0.04783808890416695,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
Red Mango,0.009118515284618099,0.05634406319277582,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.05768675859279823,0.03523054211097286,0.035129680842016155,0.03682905811174364,0.04783808890416695,0.0,0.054711091707708555,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
Sazon,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739479,0.206736716229081,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174363,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
Skillet,0.009118515284618099,0.05634406319277582,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174364,0.04783808890416695,0.0,0.054711091707708555,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579132,0.0836816510235913,0.0012411365798509196
Tandoor,0.009118515284618099,0.05634406319277582,0.03688583830332094,0.09111540965739479,0.20673671622908102,0.05768675859279822,0.03523054211097286,0.035129680842016155,0.03682905811174364,0.047838088904166944,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
The Commons,0.009118515284618099,0.056344063192775816,0.036885838303320935,0.09111540965739479,0.20673671622908102,0.05768675859279821,0.03523054211097286,0.03512968084201615,0.03682905811174364,0.047838088904166944,0.0,0.054711091707708555,0.022406703982939143,0.0,0.056262515159995176,0.047659644666275286,0.011914911166568821,0.08368165102359129,0.02552602346057913,0.08368165102359129,0.0012411365798509196
Thyme,0.009118515284618099,0.05634406319277582,0.03688583830332095,0.09111540965739479,0.20673671622908105,0.05768675859279824,0.03523054211097286,0.035129680842016155,0.03682905811174364,0.04783808890416695,0.0,0.05471109170770856,0.02240670398293915,0.0,0.05626251515999518,0.04765964466627529,0.011914911166568823,0.0836816510235913,0.025526023460579136,0.0836816510235913,0.0012411365798509196
Twinnie's,0.0091185152846181,0.05634406319277583,0.03688583830332095,0.09111540965739479,0.20673671622908102,0.05768675859279824,0.03523054211097286,0.03512968084201616,0.03682905811174365,0.04783808890416695,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999518,0.0476596446662753,0.011914911166568825,0.0836816510235913,0.02552602346057914,0.0836816510235913,0.0012411365798509198
Zweli's,0.009118515284618097,0.05634406319277582,0.03688583830332094,0.0911154096573948,0.20673671622908102,0.057686758592798225,0.035230542110972866,0.035129680842016155,0.03682905811174364,0.04783808890416695,0.0,0.05471109170770856,0.022406703982939147,0.0,0.05626251515999519,0.0476596446662753,0.011914911166568825,0.0836816510235913,0.02552602346057913,0.0836816510235913,0.0012411365798509196
